number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_grow_policy,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,params_tree_method,state
108,0.6109807880959557,2026-04-16 13:53:33.598744,2026-04-16 13:53:34.505456,0 days 00:00:00.906712,0.7091376280276912,5.0762632337061575,depthwise,0.012908774792056866,1,2.6956650112603024,225,0.0115561260594935,0.009455409968882972,0.8986661421292911,hist,COMPLETE
109,0.5779759054947069,2026-04-16 13:53:34.505599,2026-04-16 13:53:35.899282,0 days 00:00:01.393683,0.7068069834331221,4.846682404595177,depthwise,0.013996446566160652,2,2.828888811541066,275,0.02429520882136617,0.006237634349797447,0.8939726163153843,hist,COMPLETE
110,0.618275164031188,2026-04-16 13:53:35.899430,2026-04-16 13:53:37.230080,0 days 00:00:01.330650,0.7132409612743179,5.151247034530888,depthwise,0.011772115130468606,1,2.2730832090269653,350,0.007479242491206588,0.007661763151047575,0.8814352482038902,hist,COMPLETE
111,0.630820450986908,2026-04-16 13:53:37.230232,2026-04-16 13:53:38.474057,0 days 00:00:01.243825,0.7138661299084981,4.963661875244179,depthwise,0.011713305204715318,1,2.247811205942622,325,0.01514959857178007,0.007804018291192333,0.8810680762688474,hist,COMPLETE
112,0.6200399868367501,2026-04-16 13:53:38.474206,2026-04-16 13:53:39.722616,0 days 00:00:01.248410,0.712484163367747,4.93625660290025,depthwise,0.010121104132555207,1,2.2504156460196127,325,0.015618322024920896,0.008161445738528771,0.8810969820342318,hist,COMPLETE
113,0.61798438207953,2026-04-16 13:53:39.722766,2026-04-16 13:53:41.008357,0 days 00:00:01.285591,0.7234990884707939,5.172536976616635,depthwise,0.010000525247282236,1,2.246853796391302,325,0.01514178045293873,0.007611570547704005,0.8807507916305625,hist,COMPLETE
114,0.6165899159330088,2026-04-16 13:53:41.008500,2026-04-16 13:53:42.317015,0 days 00:00:01.308515,0.7141722409531238,4.93068088527317,depthwise,0.01831765236568582,1,2.303656638231085,350,0.014184274758096763,0.014067565034453658,0.8806656913724363,hist,COMPLETE
115,0.616784520100625,2026-04-16 13:53:42.317147,2026-04-16 13:53:43.471010,0 days 00:00:01.153863,0.7047123669263187,5.011522549209383,depthwise,0.012750249913891776,1,2.4584002495407438,300,0.026346135699193744,0.004124515590595615,0.8919264997852051,hist,COMPLETE
116,0.5750459987569749,2026-04-16 13:53:43.471137,2026-04-16 13:53:45.321858,0 days 00:00:01.850721,0.7211409362915198,5.244624483642514,depthwise,0.011478442564905406,2,2.2046166111981123,375,0.036674836664907035,0.010930521867972599,0.8947885339843284,hist,COMPLETE
117,0.6170889638435167,2026-04-16 13:53:45.322014,2026-04-16 13:53:45.964601,0 days 00:00:00.642587,0.7133930152121781,4.955033139014368,depthwise,0.010655343326769895,1,2.6126438425567446,150,0.019662220458958962,0.007761743162197766,0.8804433964461196,hist,COMPLETE
118,0.626130257112751,2026-04-16 13:53:45.964747,2026-04-16 13:53:46.363675,0 days 00:00:00.398928,0.7293238859796843,5.364829822139834,depthwise,0.015617922528370895,1,2.4994207667009745,75,0.004703046613577654,0.005407672049455274,0.8903712671465663,hist,COMPLETE
119,0.6209021489642843,2026-04-16 13:53:46.363819,2026-04-16 13:53:46.850086,0 days 00:00:00.486267,0.7084928098492266,5.387317183291229,depthwise,0.015524979695892215,1,2.3436310184388875,100,0.012158640406821318,0.00512216126600386,0.8905152382837818,hist,COMPLETE
120,0.5901092817609929,2026-04-16 13:53:46.850215,2026-04-16 13:53:47.401443,0 days 00:00:00.551228,0.7079255089641411,5.537754569395205,depthwise,0.01596554094937474,2,2.665678074884259,75,0.013190229173750716,0.003766952844914036,0.8904062643464661,hist,COMPLETE
121,0.6355318314951777,2026-04-16 13:53:47.401564,2026-04-16 13:53:47.818643,0 days 00:00:00.417079,0.729387117399095,5.429559361323804,depthwise,0.014325498313665334,1,2.309456436745179,75,0.016354983638458893,0.005437061618761403,0.8849606714076195,hist,COMPLETE
122,0.624126126517701,2026-04-16 13:53:47.818788,2026-04-16 13:53:48.236434,0 days 00:00:00.417646,0.7270077240350684,5.328775781573969,depthwise,0.014633051892286914,1,2.5253446439673226,75,0.010199074057983818,0.005277598466268904,0.8846359395363068,hist,COMPLETE
123,0.6237908099291765,2026-04-16 13:53:48.236559,2026-04-16 13:53:48.657268,0 days 00:00:00.420709,0.7296506552015409,5.370633039808732,depthwise,0.02160117244801546,1,2.5318285885737906,75,0.019097495926267534,0.005166243273555301,0.8870005129196346,hist,COMPLETE
124,0.6052827287998508,2026-04-16 13:53:48.657415,2026-04-16 13:53:48.979555,0 days 00:00:00.322140,0.7280459302212587,5.377803549095336,depthwise,0.022041301737219014,1,2.7822078662557663,50,0.015340914306426668,0.0052627344350634165,0.8860617676399404,hist,COMPLETE
125,0.6085609816346768,2026-04-16 13:53:48.979687,2026-04-16 13:53:49.466538,0 days 00:00:00.486851,0.7243923247372481,5.639306874959531,depthwise,0.019844240926553406,1,2.5345654454666957,100,0.017683298702149138,0.0045838767097337784,0.876895889127296,hist,COMPLETE
126,0.6144713723291804,2026-04-16 13:53:49.466652,2026-04-16 13:53:50.128275,0 days 00:00:00.661623,0.7181397261883595,5.451934777878289,depthwise,0.014269014485294324,1,2.32570612721984,150,0.03155988575784861,0.0032863824461918543,0.8837374733721025,hist,COMPLETE
127,0.5791522084073117,2026-04-16 13:53:50.128417,2026-04-16 13:53:50.678302,0 days 00:00:00.549885,0.7321881506207829,5.356557524724411,depthwise,0.016391993899374634,2,3.083244363294651,75,0.0240665472365973,0.0027314238628483025,0.8900570001450647,hist,COMPLETE
128,0.6109702828613433,2026-04-16 13:53:50.678445,2026-04-16 13:53:51.003880,0 days 00:00:00.325435,0.7268187905052309,5.553492911289122,depthwise,0.018403969901377534,1,2.096015743851366,50,0.012430048856870367,0.0048024566990313555,0.8942412803472424,hist,COMPLETE
129,0.6015417483211043,2026-04-16 13:53:51.004019,2026-04-16 13:53:51.919623,0 days 00:00:00.915604,0.7180350880094425,5.322877047577303,depthwise,0.01563731388290372,2,2.508541982744962,150,0.009600808285422115,0.005879446207509443,0.8846446253499047,hist,COMPLETE
130,0.6172728783566067,2026-04-16 13:53:51.919763,2026-04-16 13:53:52.422369,0 days 00:00:00.502606,0.7302096667263085,5.073160192756602,depthwise,0.013570216048860667,1,2.249873687402895,100,0.020358573637494527,0.004201798300090287,0.8783259930898453,hist,COMPLETE
131,0.6166972521440831,2026-04-16 13:53:52.422510,2026-04-16 13:53:53.157659,0 days 00:00:00.735149,0.7053999590469807,5.253804015155526,depthwise,0.017477022280599084,1,2.9230131601206546,175,0.00459002221777436,0.00634518744930024,0.891059471134043,hist,COMPLETE
132,0.6102532951772532,2026-04-16 13:53:53.157791,2026-04-16 13:53:54.047785,0 days 00:00:00.889994,0.7150877281728218,5.422936315147207,depthwise,0.014505396395148022,1,2.6932607905888517,225,0.005858494421822657,0.010168798648202939,0.895056358810503,hist,COMPLETE
133,0.6150899016484138,2026-04-16 13:53:54.047925,2026-04-16 13:53:54.619459,0 days 00:00:00.571534,0.7421462208135993,5.331931207600059,depthwise,0.013091793165709603,1,2.58487038382528,125,0.016939799336379763,0.012601482669462061,0.8865099113770758,hist,COMPLETE
134,0.6139189426315779,2026-04-16 13:53:54.619587,2026-04-16 13:53:55.367372,0 days 00:00:00.747785,0.7210736937550678,5.2007301406761,depthwise,0.012445279386832531,1,2.353627849704533,175,0.005343557802421191,0.005734105915782309,0.8907732969614374,hist,COMPLETE
135,0.6220951160606063,2026-04-16 13:53:55.367515,2026-04-16 13:53:56.436231,0 days 00:00:01.068716,0.7094640219664968,5.5136778196926315,depthwise,0.014514266240936479,1,2.473397526255738,275,0.008072201925049847,0.007852112133405602,0.8830295026853033,hist,COMPLETE
136,0.6236482160204391,2026-04-16 13:53:56.436392,2026-04-16 13:53:57.559998,0 days 00:00:01.123606,0.7389866987284157,5.746179630414883,depthwise,0.017068236884159153,1,2.1919824711383793,275,0.00835568483868244,0.0029774063850774145,0.8735257482604485,hist,COMPLETE
137,0.6224323561235775,2026-04-16 13:53:57.560149,2026-04-16 13:53:58.665140,0 days 00:00:01.104991,0.7384378927075985,5.738267398688401,depthwise,0.01497279483006998,1,2.190142720606073,275,0.008915662011441436,0.003706600600184376,0.873925904622705,hist,COMPLETE
138,0.6188905045913394,2026-04-16 13:53:58.665276,2026-04-16 13:53:59.851857,0 days 00:00:01.186581,0.7495372895175674,5.719651150677836,depthwise,0.015032780909066137,1,2.1947073425998203,300,0.009543855224993661,0.003629607539191068,0.8677556254346233,hist,COMPLETE
139,0.61044987644135,2026-04-16 13:53:59.851998,2026-04-16 13:54:01.227124,0 days 00:00:01.375126,0.7394619586553526,5.879425231127157,depthwise,0.01729647249055576,2,2.0882492239407675,275,0.012290748278773961,0.0030272567744390583,0.8746748466909443,hist,COMPLETE
140,0.6209568955543603,2026-04-16 13:54:01.227280,2026-04-16 13:54:01.546440,0 days 00:00:00.319160,0.7294378015585877,5.760486433895903,depthwise,0.01690498828339714,1,2.463580975453548,50,0.00781668332579687,0.005014144270496037,0.8728233720216413,hist,COMPLETE
141,0.6307647176535227,2026-04-16 13:54:01.546585,2026-04-16 13:54:01.951426,0 days 00:00:00.404841,0.7285765285674006,5.96756792243235,depthwise,0.016662293476090925,1,2.451226617073867,75,0.007876434418147915,0.005250932858629238,0.8713872509218469,hist,COMPLETE
142,0.62745448861633,2026-04-16 13:54:01.951548,2026-04-16 13:54:02.272007,0 days 00:00:00.320459,0.7292780477574042,5.759892071919874,depthwise,0.01859966972974541,1,2.4122145245477564,50,0.009362213545697414,0.00481710283484401,0.8709774151444807,hist,COMPLETE
143,0.6116223468728024,2026-04-16 13:54:02.272126,2026-04-16 13:54:02.590062,0 days 00:00:00.317936,0.7278370192548015,5.9946038248730735,depthwise,0.022735377772401536,1,2.475937830480652,50,0.008215934352714057,0.0043102522554507,0.8620747478485797,hist,COMPLETE
144,0.6063675839300481,2026-04-16 13:54:02.590192,2026-04-16 13:54:02.906322,0 days 00:00:00.316130,0.7377705525326794,5.699212938331547,depthwise,0.020472243396670153,1,2.4301856905780035,50,0.0058499236567040695,0.0033618097905537677,0.8720208243260087,hist,COMPLETE
145,0.6118314069142328,2026-04-16 13:54:02.906446,2026-04-16 13:54:03.478980,0 days 00:00:00.572534,0.7322739630712757,5.751701787204594,depthwise,0.01682656327363332,1,2.1646039530465755,125,0.007817064607398139,0.002690071821456054,0.8672930625853829,hist,COMPLETE
146,0.607924249364054,2026-04-16 13:54:03.479104,2026-04-16 13:54:03.966199,0 days 00:00:00.487095,0.7423921703946215,5.957836228456501,depthwise,0.01909644616758012,1,2.2978184018221994,100,0.009428773654331,0.002282826828976615,0.8750472456616646,hist,COMPLETE
147,0.6213060988536138,2026-04-16 13:54:03.966339,2026-04-16 13:54:04.362644,0 days 00:00:00.396305,0.7255903999402138,5.612964066833354,depthwise,0.014193283161492471,1,2.438161169256322,75,0.006970775649895278,0.006825975231933011,0.8693873402716762,hist,COMPLETE
148,0.6144420223203555,2026-04-16 13:54:04.362763,2026-04-16 13:54:05.023591,0 days 00:00:00.660828,0.7249835982054222,5.619797427865319,depthwise,0.013853331181363063,1,2.4093274065525754,150,0.010323220035311336,0.006964861238349815,0.8697066330017601,hist,COMPLETE
