number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_grow_policy,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,params_tree_method,state
35,0.7428548342917068,2026-04-16 13:55:21.540545,2026-04-16 13:55:21.813258,0 days 00:00:00.272713,0.7559867793891886,3.750728694493786,depthwise,0.08044208493895974,2,1.6257481706843442,850,0.08123210538938974,0.30530693641543366,0.8320394753435463,hist,COMPLETE
36,0.7387166067829163,2026-04-16 13:55:21.813395,2026-04-16 13:55:22.226536,0 days 00:00:00.413141,0.7028786977259511,4.25880018728337,depthwise,0.1747062218823497,6,3.446882984937409,1500,0.007267594524576394,0.017288613564055595,0.8515692220928739,hist,COMPLETE
37,0.6872000177520752,2026-04-16 13:55:22.226683,2026-04-16 13:55:22.284112,0 days 00:00:00.057429,0.7946943541561131,5.1109735781400705,depthwise,0.014158393780305395,1,4.421842336044029,125,0.04454099346705278,0.0021886748094698803,0.7983231750233665,hist,COMPLETE
38,0.7003078458675678,2026-04-16 13:55:22.284227,2026-04-16 13:55:22.580154,0 days 00:00:00.295927,0.8006272517160176,4.905280952602931,depthwise,0.01680122036463993,4,3.463400392208866,900,0.001437234174530459,0.020071206752449597,0.8251719831428472,hist,COMPLETE
39,0.7319431553956017,2026-04-16 13:55:22.580290,2026-04-16 13:55:22.997231,0 days 00:00:00.416941,0.8150948355751758,4.927257834618947,depthwise,0.13011248586606833,2,1.2822749896017194,1350,0.001236468455948248,0.10884606276520269,0.8880460482849916,hist,COMPLETE
40,0.673282420450432,2026-04-16 13:55:22.997367,2026-04-16 13:55:23.388012,0 days 00:00:00.390645,0.7391582269578593,5.824394426329576,depthwise,0.031990477121374275,5,3.1824671572637397,1300,0.022005218660574474,2.1987514522297205,0.8810701283912128,hist,COMPLETE
41,0.7114904184241715,2026-04-16 13:55:23.388144,2026-04-16 13:55:23.474701,0 days 00:00:00.086557,0.7046543871471651,5.04902032024907,depthwise,0.01230952041623672,1,1.3777718430237136,225,0.001768200718291197,0.012856327996992238,0.868975062193891,hist,COMPLETE
42,0.6924457637780843,2026-04-16 13:55:23.474811,2026-04-16 13:55:23.663773,0 days 00:00:00.188962,0.7564069145142612,4.886828540339652,depthwise,0.11472232140872356,2,3.7869486614566026,600,1.124803317678253,0.3596923076562744,0.8606961860769697,hist,COMPLETE
43,0.7036549845945383,2026-04-16 13:55:23.663886,2026-04-16 13:55:24.130823,0 days 00:00:00.466937,0.886151465120713,4.237853030734279,depthwise,0.017015870389650918,9,4.962020568002693,1525,0.01965857316734835,0.500820397098997,0.7681607080506035,hist,COMPLETE
44,0.7194204994635486,2026-04-16 13:55:24.130980,2026-04-16 13:55:24.393638,0 days 00:00:00.262658,0.7640099202061224,3.309371606507798,depthwise,0.13086416511485502,8,4.018171496338729,875,1.374946802316337,0.05712467776052603,0.8652914932215483,hist,COMPLETE
